CAN Init OK!!
All Init OK!!
AT24CXX_Check  success!
data_storage.SetHeight =  65512,
data_result.ADC1_Sensor_Height[0] =  492,
data_result.ADC1_Sensor_Height[1] =  492,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  0,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  65512,
data_result.ADC1_Sensor_Height[0] =  927,
data_result.ADC1_Sensor_Height[1] =  927,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  0,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  65512,
data_result.ADC1_Sensor_Height[0] =  927,
data_result.ADC1_Sensor_Height[1] =  927,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  0,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  65512,
data_result.ADC1_Sensor_Height[0] =  927,
data_result.ADC1_Sensor_Height[1] =  927,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  0,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  65512,
data_result.ADC1_Sensor_Height[0] =  927,
data_result.ADC1_Sensor_Height[1] =  927,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  0,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  65512,
data_result.ADC1_Sensor_Height[0] =  927,
data_result.ADC1_Sensor_Height[1] =  927,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  927,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  65512,
data_result.ADC1_Sensor_Height[0] =  927,
data_result.ADC1_Sensor_Height[1] =  927,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  927,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  65512,
data_result.ADC1_Sensor_Height[0] =  927,
data_result.ADC1_Sensor_Height[1] =  927,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  927,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  65512,
data_result.ADC1_Sensor_Height[0] =  926,
data_result.ADC1_Sensor_Height[1] =  926,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  926,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  65512,
data_result.ADC1_Sensor_Height[0] =  927,
data_result.ADC1_Sensor_Height[1] =  927,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  927,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  65512,
data_result.ADC1_Sensor_Height[0] =  927,
data_result.ADC1_Sensor_Height[1] =  926,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  926,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  65512,
data_result.ADC1_Sensor_Height[0] =  926,
data_result.ADC1_Sensor_Height[1] =  926,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  926,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  65512,
data_result.ADC1_Sensor_Height[0] =  926,
data_result.ADC1_Sensor_Height[1] =  926,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  926,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  65512,
data_result.ADC1_Sensor_Height[0] =  926,
data_result.ADC1_Sensor_Height[1] =  926,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  926,
out_par.DownValve_01 =  		0,
